station;phenomenon;uom;timestart;timeend;value
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T02:51:54.000+02:00;18.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T03:21:54.000+02:00;18.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T04:01:54.000+02:00;17.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T04:21:54.000+02:00;17.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T04:36:14.000+02:00;16.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T04:51:54.000+02:00;16.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T05:13:02.000+02:00;16.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T05:43:02.000+02:00;16.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T06:21:54.000+02:00;16.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T06:36:12.000+02:00;16.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T07:21:54.000+02:00;15.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T07:41:54.000+02:00;16.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T08:11:55.000+02:00;16.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T08:31:55.000+02:00;16.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T08:41:55.000+02:00;16.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T09:06:13.000+02:00;16.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T09:43:03.000+02:00;16.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T10:13:03.000+02:00;16.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T10:31:55.000+02:00;16.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T10:51:55.000+02:00;16.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T11:21:55.000+02:00;17.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T11:51:55.000+02:00;18.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T12:21:55.000+02:00;18.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T12:31:53.000+02:00;18.5
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T13:13:03.000+02:00;19.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T13:21:55.000+02:00;19.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T14:01:55.000+02:00;19.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T14:21:55.000+02:00;20
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T14:31:55.000+02:00;20.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T15:21:55.000+02:00;20.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T15:31:55.000+02:00;21.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T15:43:03.000+02:00;21.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T16:31:55.000+02:00;22.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T16:43:03.000+02:00;22.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T17:06:13.000+02:00;22.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T17:21:55.000+02:00;22.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T17:41:54.000+02:00;22.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T17:51:54.000+02:00;22.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T18:21:54.000+02:00;22.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T18:51:55.000+02:00;22.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T19:06:15.000+02:00;22.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T19:51:55.000+02:00;21.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T20:01:55.000+02:00;21.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T20:51:55.000+02:00;21.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T21:13:05.000+02:00;21.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T21:21:55.000+02:00;21.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T21:43:03.000+02:00;21.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T22:01:55.000+02:00;20.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T22:13:03.000+02:00;20.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T22:51:55.000+02:00;20
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T23:13:03.000+02:00;19.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T23:21:55.000+02:00;19.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T00:06:15.000+02:00;19.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T00:36:13.000+02:00;19.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T00:43:03.000+02:00;19.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T01:31:55.000+02:00;19.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T01:43:03.000+02:00;19.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T02:01:55.000+02:00;19.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T02:31:55.000+02:00;19.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T02:51:55.000+02:00;19.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T03:31:55.000+02:00;19.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T03:51:55.000+02:00;19.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T04:11:55.000+02:00;19.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T04:43:03.000+02:00;19.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T05:13:04.000+02:00;18.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T05:51:56.000+02:00;18.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T06:01:56.000+02:00;18.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T06:21:56.000+02:00;18.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T06:51:56.000+02:00;18.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T07:31:56.000+02:00;18.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T08:01:56.000+02:00;18.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T08:21:56.000+02:00;18.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T08:31:56.000+02:00;18.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T09:01:56.000+02:00;19.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T09:31:56.000+02:00;19.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T09:51:54.000+02:00;19.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T10:21:56.000+02:00;20.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T10:36:14.000+02:00;20.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T10:41:56.000+02:00;20.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T11:11:56.000+02:00;17.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T11:21:56.000+02:00;16.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T11:43:04.000+02:00;15.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T12:06:14.000+02:00;15.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T12:31:54.000+02:00;16.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T12:51:54.000+02:00;16.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T13:13:04.000+02:00;16.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T14:01:56.000+02:00;17.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T14:21:56.000+02:00;18.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T15:06:15.000+02:00;19.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T15:13:04.000+02:00;19.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T15:21:56.000+02:00;19.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T16:06:15.000+02:00;20.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T16:11:57.000+02:00;20.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T16:31:55.000+02:00;20.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T16:51:57.000+02:00;20.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T17:43:05.000+02:00;20.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T17:51:55.000+02:00;20.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T18:31:55.000+02:00;20.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T18:51:55.000+02:00;20.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T19:31:55.000+02:00;20.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T20:11:55.000+02:00;19.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T20:21:55.000+02:00;19.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T20:41:55.000+02:00;18.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T21:13:05.000+02:00;17.5
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T21:43:03.000+02:00;17
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T22:06:13.000+02:00;16.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T22:11:57.000+02:00;16.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T22:36:15.000+02:00;16.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T22:51:57.000+02:00;16.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T23:13:05.000+02:00;16.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-23T23:51:57.000+02:00;16.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T00:31:55.000+02:00;15.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T00:41:55.000+02:00;15.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T00:51:55.000+02:00;15
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-24T01:21:55.000+02:00;14.8
